timestamp_utc,mode,memory_used_mb
2026-06-16T02:22:05.158485+00:00,contiguous,4942.0
2026-06-16T02:22:05.476872+00:00,contiguous,4942.0
2026-06-16T02:22:05.779932+00:00,contiguous,4942.0
2026-06-16T02:22:06.083771+00:00,contiguous,4942.0
2026-06-16T02:22:06.401682+00:00,contiguous,4942.0
2026-06-16T02:22:06.709594+00:00,contiguous,4942.0
2026-06-16T02:22:07.018347+00:00,contiguous,4942.0
2026-06-16T02:22:07.322268+00:00,contiguous,4942.0
2026-06-16T02:22:07.627539+00:00,contiguous,4942.0
2026-06-16T02:22:07.929797+00:00,contiguous,4942.0
2026-06-16T02:22:08.231444+00:00,contiguous,4942.0
2026-06-16T02:22:08.534840+00:00,contiguous,4942.0
2026-06-16T02:22:08.838604+00:00,contiguous,4942.0
2026-06-16T02:22:09.140875+00:00,contiguous,4942.0
2026-06-16T02:22:09.443078+00:00,contiguous,4942.0
2026-06-16T02:22:09.748472+00:00,contiguous,4942.0
2026-06-16T02:22:10.050701+00:00,contiguous,4942.0
2026-06-16T02:22:10.354018+00:00,contiguous,4942.0
2026-06-16T02:22:10.657878+00:00,contiguous,4942.0
2026-06-16T02:22:10.964367+00:00,contiguous,4942.0
2026-06-16T02:22:11.271223+00:00,contiguous,4942.0
2026-06-16T02:22:11.580285+00:00,contiguous,4942.0
2026-06-16T02:22:11.884791+00:00,contiguous,4942.0
2026-06-16T02:22:12.211277+00:00,contiguous,4942.0
2026-06-16T02:22:12.514358+00:00,contiguous,4942.0
2026-06-16T02:22:12.817681+00:00,contiguous,4942.0
2026-06-16T02:22:13.121483+00:00,contiguous,4942.0
2026-06-16T02:22:13.425871+00:00,contiguous,4942.0
2026-06-16T02:22:13.727659+00:00,contiguous,4942.0
2026-06-16T02:22:14.030674+00:00,contiguous,4942.0
2026-06-16T02:22:14.336651+00:00,contiguous,4942.0
2026-06-16T02:22:14.641159+00:00,contiguous,4942.0
2026-06-16T02:22:14.944028+00:00,contiguous,4942.0
2026-06-16T02:22:15.246367+00:00,contiguous,4942.0
2026-06-16T02:22:15.545859+00:00,contiguous,4942.0
2026-06-16T02:22:15.868208+00:00,contiguous,4942.0
2026-06-16T02:22:16.169674+00:00,contiguous,4942.0
2026-06-16T02:22:16.468395+00:00,contiguous,4942.0
2026-06-16T02:22:16.771959+00:00,contiguous,4942.0
2026-06-16T02:22:17.076050+00:00,contiguous,4942.0
2026-06-16T02:22:17.377554+00:00,contiguous,4942.0
2026-06-16T02:22:17.678505+00:00,contiguous,4942.0
2026-06-16T02:22:17.996691+00:00,contiguous,4942.0
2026-06-16T02:22:18.295901+00:00,contiguous,4942.0
2026-06-16T02:22:18.604333+00:00,contiguous,4942.0
2026-06-16T02:22:18.905671+00:00,contiguous,4942.0
2026-06-16T02:22:19.220342+00:00,contiguous,4942.0
2026-06-16T02:22:19.523933+00:00,contiguous,4942.0
2026-06-16T02:22:19.831084+00:00,contiguous,4942.0
2026-06-16T02:22:20.132841+00:00,contiguous,4942.0
2026-06-16T02:22:20.432981+00:00,contiguous,4942.0
2026-06-16T02:22:20.735327+00:00,contiguous,4942.0
2026-06-16T02:22:21.036847+00:00,contiguous,4942.0
2026-06-16T02:22:21.342316+00:00,contiguous,4942.0
2026-06-16T02:22:21.649759+00:00,contiguous,4942.0
2026-06-16T02:22:21.953333+00:00,contiguous,4942.0
2026-06-16T02:22:22.257510+00:00,contiguous,4942.0
