timestamp_utc,mode,memory_used_mb
2026-06-16T02:42:52.841987+00:00,contiguous,4859.0
2026-06-16T02:42:53.148249+00:00,contiguous,4859.0
2026-06-16T02:42:53.456140+00:00,contiguous,4859.0
2026-06-16T02:42:53.767207+00:00,contiguous,4859.0
2026-06-16T02:42:54.074122+00:00,contiguous,4859.0
2026-06-16T02:42:54.382201+00:00,contiguous,4859.0
2026-06-16T02:42:54.723241+00:00,contiguous,4859.0
2026-06-16T02:42:55.059082+00:00,contiguous,4859.0
2026-06-16T02:42:55.368248+00:00,contiguous,4859.0
2026-06-16T02:42:55.696581+00:00,contiguous,4859.0
2026-06-16T02:42:56.022384+00:00,contiguous,4859.0
2026-06-16T02:42:56.331058+00:00,contiguous,4859.0
2026-06-16T02:42:56.637072+00:00,contiguous,4859.0
2026-06-16T02:42:56.941888+00:00,contiguous,4859.0
2026-06-16T02:42:57.252491+00:00,contiguous,4859.0
2026-06-16T02:42:57.560028+00:00,contiguous,4859.0
2026-06-16T02:42:57.868675+00:00,contiguous,4859.0
2026-06-16T02:42:58.175053+00:00,contiguous,4859.0
2026-06-16T02:42:58.483936+00:00,contiguous,4859.0
2026-06-16T02:42:58.794133+00:00,contiguous,4859.0
2026-06-16T02:42:59.118131+00:00,contiguous,4859.0
2026-06-16T02:42:59.433969+00:00,contiguous,4859.0
2026-06-16T02:42:59.739366+00:00,contiguous,4859.0
2026-06-16T02:43:00.045866+00:00,contiguous,4859.0
2026-06-16T02:43:00.354851+00:00,contiguous,4859.0
2026-06-16T02:43:00.660486+00:00,contiguous,4859.0
2026-06-16T02:43:00.968552+00:00,contiguous,4859.0
2026-06-16T02:43:01.277220+00:00,contiguous,4859.0
2026-06-16T02:43:01.607520+00:00,contiguous,4859.0
2026-06-16T02:43:01.916412+00:00,contiguous,4859.0
2026-06-16T02:43:02.221109+00:00,contiguous,4859.0
2026-06-16T02:43:02.529925+00:00,contiguous,4859.0
2026-06-16T02:43:02.838014+00:00,contiguous,4859.0
2026-06-16T02:43:03.146758+00:00,contiguous,4859.0
2026-06-16T02:43:03.455728+00:00,contiguous,4859.0
2026-06-16T02:43:03.760962+00:00,contiguous,4859.0
2026-06-16T02:43:04.068756+00:00,contiguous,4859.0
2026-06-16T02:43:04.378031+00:00,contiguous,4859.0
2026-06-16T02:43:04.687876+00:00,contiguous,4859.0
2026-06-16T02:43:05.018418+00:00,contiguous,4859.0
2026-06-16T02:43:05.323185+00:00,contiguous,4859.0
2026-06-16T02:43:05.626902+00:00,contiguous,4859.0
2026-06-16T02:43:05.934958+00:00,contiguous,4859.0
2026-06-16T02:43:06.242210+00:00,contiguous,4859.0
2026-06-16T02:43:06.548037+00:00,contiguous,4859.0
2026-06-16T02:43:06.854308+00:00,contiguous,4859.0
2026-06-16T02:43:07.160839+00:00,contiguous,4859.0
2026-06-16T02:43:07.468940+00:00,contiguous,4859.0
2026-06-16T02:43:07.777979+00:00,contiguous,4859.0
2026-06-16T02:43:08.084236+00:00,contiguous,4859.0
2026-06-16T02:43:08.408511+00:00,contiguous,4859.0
2026-06-16T02:43:08.716313+00:00,contiguous,4859.0
2026-06-16T02:43:09.023037+00:00,contiguous,4859.0
2026-06-16T02:43:09.331241+00:00,contiguous,4859.0
2026-06-16T02:43:09.638535+00:00,contiguous,4859.0
2026-06-16T02:43:09.943815+00:00,contiguous,4859.0
2026-06-16T02:43:10.252763+00:00,contiguous,4859.0
2026-06-16T02:43:10.557118+00:00,contiguous,4859.0
2026-06-16T02:43:10.865413+00:00,contiguous,4859.0
2026-06-16T02:43:11.171378+00:00,contiguous,4859.0
2026-06-16T02:43:11.479785+00:00,contiguous,4859.0
2026-06-16T02:43:11.807964+00:00,contiguous,4859.0
2026-06-16T02:43:12.116857+00:00,contiguous,4859.0
2026-06-16T02:43:12.426645+00:00,contiguous,4859.0
2026-06-16T02:43:12.736175+00:00,contiguous,4859.0
2026-06-16T02:43:13.046334+00:00,contiguous,4859.0
2026-06-16T02:43:13.356479+00:00,contiguous,4859.0
2026-06-16T02:43:13.663906+00:00,contiguous,4859.0
2026-06-16T02:43:13.971691+00:00,contiguous,4859.0
2026-06-16T02:43:14.278892+00:00,contiguous,4859.0
2026-06-16T02:43:14.595575+00:00,contiguous,4859.0
2026-06-16T02:43:14.906541+00:00,contiguous,4859.0
2026-06-16T02:43:15.226310+00:00,contiguous,4859.0
2026-06-16T02:43:15.534457+00:00,contiguous,4859.0
2026-06-16T02:43:15.842327+00:00,contiguous,4859.0
2026-06-16T02:43:16.150170+00:00,contiguous,4859.0
2026-06-16T02:43:16.458253+00:00,contiguous,4859.0
2026-06-16T02:43:16.768677+00:00,contiguous,4859.0
2026-06-16T02:43:17.108585+00:00,contiguous,4859.0
2026-06-16T02:43:17.422179+00:00,contiguous,4859.0
2026-06-16T02:43:17.727320+00:00,contiguous,4859.0
2026-06-16T02:43:18.038296+00:00,contiguous,4859.0
2026-06-16T02:43:18.354925+00:00,contiguous,4859.0
2026-06-16T02:43:18.665540+00:00,contiguous,4859.0
2026-06-16T02:43:18.973770+00:00,contiguous,4859.0
2026-06-16T02:43:19.284281+00:00,contiguous,4859.0
2026-06-16T02:43:19.614149+00:00,contiguous,4859.0
2026-06-16T02:43:19.924058+00:00,contiguous,4859.0
2026-06-16T02:43:20.231289+00:00,contiguous,4859.0
2026-06-16T02:43:20.540088+00:00,contiguous,4859.0
2026-06-16T02:43:20.847320+00:00,contiguous,4859.0
2026-06-16T02:43:21.152623+00:00,contiguous,4859.0
2026-06-16T02:43:21.461566+00:00,contiguous,4859.0
2026-06-16T02:43:21.768876+00:00,contiguous,4859.0
2026-06-16T02:43:22.076247+00:00,contiguous,4859.0
2026-06-16T02:43:22.383624+00:00,contiguous,4859.0
2026-06-16T02:43:22.693324+00:00,contiguous,4859.0
2026-06-16T02:43:23.018676+00:00,contiguous,4859.0
2026-06-16T02:43:23.325514+00:00,contiguous,4859.0
2026-06-16T02:43:23.631802+00:00,contiguous,4859.0
2026-06-16T02:43:23.939625+00:00,contiguous,4859.0
2026-06-16T02:43:24.254808+00:00,contiguous,4859.0
2026-06-16T02:43:24.560689+00:00,contiguous,4859.0
2026-06-16T02:43:24.886600+00:00,contiguous,4859.0
2026-06-16T02:43:25.220711+00:00,contiguous,4859.0
2026-06-16T02:43:25.529862+00:00,contiguous,4859.0
2026-06-16T02:43:25.835613+00:00,contiguous,4859.0
2026-06-16T02:43:26.139443+00:00,contiguous,4859.0
2026-06-16T02:43:26.447889+00:00,contiguous,4859.0
2026-06-16T02:43:26.754912+00:00,contiguous,4859.0
2026-06-16T02:43:27.062223+00:00,contiguous,4859.0
2026-06-16T02:43:27.367752+00:00,contiguous,4859.0
2026-06-16T02:43:27.674921+00:00,contiguous,4859.0
2026-06-16T02:43:28.001217+00:00,contiguous,4859.0
2026-06-16T02:43:28.306823+00:00,contiguous,4859.0
2026-06-16T02:43:28.625375+00:00,contiguous,4859.0
2026-06-16T02:43:28.933662+00:00,contiguous,4859.0
2026-06-16T02:43:29.238733+00:00,contiguous,4859.0
2026-06-16T02:43:29.557083+00:00,contiguous,4859.0
2026-06-16T02:43:29.864743+00:00,contiguous,4859.0
2026-06-16T02:43:30.174868+00:00,contiguous,4859.0
2026-06-16T02:43:30.479480+00:00,contiguous,4859.0
2026-06-16T02:43:30.800413+00:00,contiguous,4859.0
2026-06-16T02:43:31.107794+00:00,contiguous,4859.0
2026-06-16T02:43:31.413321+00:00,contiguous,4859.0
2026-06-16T02:43:31.723170+00:00,contiguous,4859.0
2026-06-16T02:43:32.031049+00:00,contiguous,4859.0
2026-06-16T02:43:32.340247+00:00,contiguous,4859.0
2026-06-16T02:43:32.645826+00:00,contiguous,4859.0
2026-06-16T02:43:32.953997+00:00,contiguous,4859.0
2026-06-16T02:43:33.262019+00:00,contiguous,4859.0
2026-06-16T02:43:33.568642+00:00,contiguous,4859.0
2026-06-16T02:43:33.876709+00:00,contiguous,4859.0
